#r 	ccsd	SVWN	pbe0	pbe	m062x	hse06	m11
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.018897	0.137117	0.136938	0.137067	0.137010	0.137111	0.137066	0.137141
0.037795	0.471600	0.470924	0.471400	0.471191	0.471566	0.471397	0.471665
0.056881	0.913765	0.912348	0.913329	0.912900	0.913682	0.913322	0.913859
0.075778	1.397386	1.395053	1.396640	1.395948	1.397228	1.396629	1.397476
0.094675	1.884098	1.880738	1.882990	1.882009	1.883843	1.882973	1.884150
0.113573	2.341952	2.337516	2.340449	2.339173	2.341581	2.340426	2.341928
0.132470	2.749784	2.744281	2.747874	2.746312	2.749283	2.747844	2.749651
0.151556	3.099427	3.092905	3.097113	3.095284	3.098783	3.097076	3.099158
0.170454	3.389445	3.381985	3.386743	3.384675	3.388651	3.386700	3.389020
0.189351	3.620095	3.611801	3.617034	3.614759	3.619147	3.616984	3.619503
0.208248	3.792297	3.783288	3.788912	3.786465	3.791193	3.788857	3.791531
0.227146	3.908362	3.898771	3.904694	3.902114	3.907104	3.904635	3.907423
0.246232	3.972510	3.962472	3.968605	3.965929	3.971103	3.968543	3.971402
0.265129	3.990577	3.980227	3.986482	3.983747	3.989026	3.986418	3.989309
0.284026	3.969200	3.958671	3.964964	3.962206	3.967515	3.964899	3.967787
0.302924	3.914979	3.904395	3.910648	3.907900	3.913169	3.910584	3.913437
0.321821	3.833895	3.823374	3.829518	3.826808	3.831975	3.829455	3.832244
0.340907	3.731091	3.720743	3.726713	3.724069	3.729075	3.726652	3.729352
0.359805	3.610896	3.600822	3.606560	3.604008	3.608801	3.606503	3.609092
0.378702	3.476983	3.467274	3.472732	3.470291	3.474828	3.472678	3.475139
0.397599	3.332549	3.323288	3.328423	3.326113	3.330355	3.328373	3.330689
0.416496	3.180456	3.171716	3.176493	3.174329	3.178247	3.176448	3.178607
0.435583	3.023317	3.015159	3.019551	3.017547	3.021117	3.019511	3.021503
0.454480	2.863524	2.856001	2.859987	2.858152	2.861359	2.859953	2.861769
0.473377	2.703241	2.696397	2.699963	2.698305	2.701141	2.699934	2.701570
0.492275	2.544386	2.538253	2.541393	2.539918	2.542380	2.541370	2.542823
0.511172	2.388603	2.383207	2.385920	2.384630	2.386722	2.385902	2.387172
0.530258	2.237251	2.232609	2.234900	2.233795	2.235529	2.234886	2.235974
0.549156	2.091405	2.087527	2.089405	2.088485	2.089874	2.089396	2.090303
0.568053	1.951868	1.948757	1.950238	1.949498	1.950564	1.950231	1.950962
0.586950	1.819201	1.816855	1.817955	1.817393	1.818158	1.817952	1.818510
0.605847	1.693754	1.692167	1.692908	1.692518	1.693009	1.692907	1.693298
0.624934	1.575706	1.574867	1.575271	1.575047	1.575293	1.575272	1.575501
0.643831	1.465097	1.464991	1.465085	1.465019	1.465053	1.465086	1.465160
0.662728	1.361864	1.362475	1.362284	1.362370	1.362223	1.362285	1.362210
0.681626	1.265867	1.267176	1.266728	1.266957	1.266665	1.266728	1.266511
0.700523	1.176916	1.178901	1.178225	1.178589	1.178186	1.178222	1.177871
0.719609	1.094783	1.097422	1.096547	1.097038	1.096559	1.096541	1.096062
0.738506	1.019221	1.022491	1.021445	1.022054	1.021534	1.021435	1.020835
0.757404	0.949968	0.953845	0.952657	0.953376	0.952850	0.952643	0.951928
0.776301	0.886758	0.891215	0.889915	0.890734	0.890236	0.889895	0.889073
0.795198	0.829317	0.834332	0.832946	0.833857	0.833420	0.832919	0.831996
0.814285	0.777376	0.782921	0.781477	0.782471	0.782127	0.781442	0.780426
0.833182	0.730660	0.736712	0.735234	0.736305	0.736084	0.735192	0.734088
0.852079	0.688897	0.695432	0.693946	0.695084	0.695016	0.693895	0.692709
0.870977	0.651817	0.658810	0.657340	0.658538	0.658649	0.657278	0.656017
0.889874	0.619149	0.626577	0.625144	0.626396	0.626711	0.625073	0.623741
0.908960	0.590625	0.598467	0.597091	0.598389	0.598932	0.597009	0.595613
0.927857	0.565979	0.574213	0.572914	0.574252	0.575044	0.572820	0.571365
0.946755	0.544950	0.553556	0.552351	0.553722	0.554782	0.552245	0.550735
0.965652	0.527281	0.536239	0.535144	0.536544	0.537889	0.535025	0.533465
0.984549	0.512721	0.522013	0.521041	0.522465	0.524111	0.520910	0.519304
1.003636	0.501026	0.510635	0.509799	0.511241	0.513201	0.509656	0.508008
1.022533	0.491961	0.501870	0.501182	0.502639	0.504922	0.501025	0.499340
1.041430	0.485300	0.495494	0.494963	0.496430	0.499047	0.494793	0.493073
1.060328	0.480828	0.491292	0.490926	0.492400	0.495358	0.490743	0.488992
1.079225	0.478338	0.489059	0.488866	0.490342	0.493647	0.488669	0.486890
1.098311	0.477639	0.488603	0.488587	0.490064	0.493719	0.488377	0.486574
1.117208	0.478546	0.489742	0.489908	0.491383	0.495390	0.489684	0.487860
1.136106	0.480891	0.492306	0.492658	0.494128	0.498487	0.492421	0.490578
1.155003	0.484514	0.496136	0.496676	0.498140	0.502850	0.496426	0.494567
1.173900	0.489267	0.501086	0.501815	0.503270	0.508330	0.501552	0.499681
1.192987	0.495014	0.507018	0.507938	0.509382	0.514788	0.507662	0.505780
1.211884	0.501628	0.513808	0.514917	0.516348	0.522095	0.514629	0.512739
1.230781	0.508993	0.521338	0.522636	0.524053	0.530135	0.522335	0.520441
1.249678	0.517001	0.529502	0.530986	0.532388	0.538799	0.530674	0.528778
1.268576	0.525555	0.538201	0.539871	0.541256	0.547987	0.539547	0.537652
1.287662	0.534565	0.547347	0.549198	0.550565	0.557608	0.548863	0.546971
1.306559	0.543948	0.556855	0.558885	0.560233	0.567578	0.558540	0.556654
1.325457	0.553628	0.566652	0.568856	0.570184	0.577821	0.568501	0.566624
1.344354	0.563538	0.576669	0.579043	0.580349	0.588267	0.578678	0.576813
1.363251	0.573613	0.586841	0.589380	0.590665	0.598852	0.589006	0.587156
1.382337	0.583796	0.597112	0.599811	0.601073	0.609517	0.599429	0.597596
1.401235	0.594034	0.607429	0.610283	0.611521	0.620208	0.609892	0.608079
1.420132	0.604280	0.617744	0.620746	0.621960	0.630878	0.620348	0.618558
1.439029	0.614489	0.628013	0.631158	0.632346	0.641481	0.630753	0.628989
1.457927	0.624622	0.638196	0.641477	0.642639	0.651977	0.641066	0.639331
1.477013	0.634641	0.648256	0.651667	0.652803	0.662328	0.651250	0.649547
1.495910	0.644515	0.658161	0.661694	0.662803	0.672502	0.661272	0.659604
1.514808	0.654211	0.667880	0.671529	0.672610	0.682468	0.671103	0.669471
1.533705	0.663704	0.677385	0.681143	0.682196	0.692197	0.680713	0.679122
1.552602	0.672967	0.686653	0.690513	0.691537	0.701666	0.690079	0.688531
1.571688	0.681980	0.695660	0.699614	0.700610	0.710851	0.699178	0.697675
1.590586	0.690721	0.704387	0.708428	0.709394	0.719732	0.707991	0.706536
1.609483	0.699173	0.712816	0.716937	0.717873	0.728292	0.716498	0.715093
1.628380	0.707320	0.720931	0.725124	0.726029	0.736515	0.724684	0.723333
1.647278	0.715148	0.728718	0.732975	0.733851	0.744387	0.732536	0.731240
1.666364	0.722645	0.736165	0.740480	0.741324	0.751896	0.740040	0.738803
1.685261	0.729799	0.743261	0.747626	0.748439	0.759031	0.747188	0.746011
